input_text,aspect,polarity,extracted_nouns
prices cheap compared quality service food,price,positive,"['food', 'prices', 'service', 'quality']"
pass calamari,food,negative,[]
quite frankly worst sushi ever tried,food,negative,['sushi']
ordered chu chu curry friend ordered pad thai chicken,food,neutral,[]
tables crammed way close menu typical italian restaurant wine list simply overpriced,food,neutral,"['list', 'menu', 'tables', 'wine', 'restaurant']"
worth bucks,price,negative,['bucks']
price eat well manhattan,food,positive,['price']
typical nyc gimmick theme restaurant,ambience,positive,"['theme', 'restaurant']"
service attentive,service,positive,['service']
go twice month,anecdotesmiscellaneous,neutral,['month']
anyway last time cross williamsburg,anecdotesmiscellaneous,negative,['time']
rolls big good sashimi wasnt fresh,food,negative,[]
despite untasteful previous review,anecdotesmiscellaneous,neutral,['review']
heartland brewery far one best places nyc make new friends catch old ones,anecdotesmiscellaneous,positive,"['brewery', 'friends', 'ones', 'places']"
perhaps food considered extreme upper east side resident rest us whove actually eaten ethnic food simply dull,food,conflict,"['food', 'side', 'resident']"
notified didnt mention specials didnt apologize let us know made good decision regardless,service,negative,"['specials', 'decision']"
good dark atmosphere music nice touch,ambience,positive,"['atmosphere', 'music', 'touch']"
amazed poor reviews find place standout italian area flooded italian great prices great atmosphere good service wonderful wine list,ambience,positive,"['atmosphere', 'list', 'area', 'reviews', 'wine', 'prices', 'place', 'service']"
menu limited think counted 4 5 entrees,food,negative,"['entrees', 'menu', 'think']"
course past 3 months chef staff changed better,service,negative,"['chef', 'months', 'course', 'staff']"
wasnt expected menu comprised pad thai tom yum soup thought made place special,food,positive,"['menu', 'place']"
thali small thoroughly unremarkable 1495,food,negative,[]
live nearby first opened ate lot,anecdotesmiscellaneous,neutral,['lot']
really loved different inovated touch thats cheff gives food,food,positive,"['cheff', 'food', 'touch']"
prices beat quality quantity freshness taste,price,positive,"['quality', 'quantity', 'prices', 'freshness', 'taste']"
tasty steak pork loin works,food,positive,"['steak', 'loin', 'pork']"
place small intimate may feel little crowded service excellent great friends romantic date special occassion,ambience,negative,"['occassion', 'friends', 'service']"
say 2 pints happy hour cheapest oysters youll find city though quality best,food,positive,"['pints', 'quality', 'city', 'oysters', 'hour']"
friends food also complete opposite supposed taste like look like,food,negative,"['food', 'friends', 'taste']"
pizza wine excellentthe service toobut really made place backyard dining area,service,positive,"['backyard', 'toobut', 'area', 'dining', 'wine', 'place', 'service', 'pizza']"
known secret last 13 years emiliothe godfather continued serve food wine gods mortal prices,price,positive,"['food', 'godfather', 'secret', 'prices', 'gods', 'years', 'wine']"
brick oven gallery pick best pizza restaurant anywhere,anecdotesmiscellaneous,positive,"['brick', 'oven', 'gallery', 'restaurant', 'pizza']"
quick friendly service,service,positive,['service']
puke green walls leave lot desired food good,food,positive,"['food', 'lot', 'walls']"
besides bad service thats less money tip,service,negative,"['tip', 'money', 'service']"
lived shanghai life thought food comparable flagship green bo restaurant,food,positive,"['food', 'flagship', 'restaurant']"
ate thai place following reviews unhappy foods,food,negative,"['foods', 'place', 'reviews']"
average good thai food terrible delivery,food,positive,"['food', 'delivery']"
kitchen however almost always slow,service,negative,['kitchen']
tends turn people away,anecdotesmiscellaneous,negative,['people']
ive lunch buffet chennai couple times neighborhood,anecdotesmiscellaneous,neutral,"['couple', 'lunch', 'neighborhood', 'times']"
better bagel shop corner worth going way opinion,anecdotesmiscellaneous,negative,"['shop', 'way', 'opinion', 'corner', 'bagel']"
plan come look forward trying assortment bruschetta paninis,anecdotesmiscellaneous,positive,"['assortment', 'bruschetta', 'plan']"
delicious food great price go cold day sit front door,price,positive,"['day', 'price', 'door']"
worth special occasion time,anecdotesmiscellaneous,positive,"['occasion', 'time']"
im happy nosh neighborhood food comforting,anecdotesmiscellaneous,positive,"['food', 'neighborhood']"
loved everythig itespecially shows actors,anecdotesmiscellaneous,positive,['actors']
grew bagels,anecdotesmiscellaneous,positive,['bagels']
bottom line b food f service,food,positive,['service']
best sushi new york city hands,food,positive,"['hands', 'sushi']"
retired hipster say degree certainty last year lucky strike best laidback late night city,anecdotesmiscellaneous,positive,"['strike', 'city', 'certainty', 'hipster', 'degree', 'night', 'year']"
combination fresh tomato sauce fresh mozz cheese basil dough make imported flour makes one better pizzas ny,food,positive,"['sauce', 'combination', 'basil', 'pizzas', 'tomato', 'dough', 'flour']"
could catch waiters eye ignored us,service,negative,"['waiters', 'eye']"
sapphire certainly lacking ambiance probably best decor indian restaurant new york city food hoped,food,negative,"['ambiance', 'food', 'sapphire']"
menu prices bit expensive get quality portion size,food,negative,"['portion', 'menu', 'quality', 'prices', 'size']"
someone else recommended dessert also left,food,negative,['dessert']
pray stays open forever,anecdotesmiscellaneous,positive,[]
wife usually order one primi one secondi split tend offer large portions,anecdotesmiscellaneous,positive,"['portions', 'secondi', 'wife', 'split', 'primi', 'one']"
room particularly comfortable youre seated youll forget everything except whats plate,food,positive,"['plate', 'room']"
fellas says best taiwanese restaurant town,anecdotesmiscellaneous,neutral,"['town', 'restaurant', 'fellas']"
found food service value exceptional everytime,price,positive,"['food', 'value', 'service', 'everytime']"
worth trip manhattan,anecdotesmiscellaneous,positive,['trip']
great large groups celebrations super happy waiter entertainment evening,service,positive,"['entertainment', 'evening', 'groups', 'waiter', 'celebrations']"
need go fourstar restaurant anymore,anecdotesmiscellaneous,neutral,"['fourstar', 'restaurant']"
quality food little expensive,food,negative,"['food', 'quality']"
certainly find restaurants offer superior fine dining experience superb food reasonable prices la villa cant beat,food,positive,"['restaurants', 'food', 'villa', 'experience', 'dining', 'prices']"
really tasty spring rolls noodles good price though,food,positive,"['price', 'spring']"
even better prices affordable well food really good,food,positive,"['food', 'prices']"
food well prepared,food,positive,['food']
wouldnt mind going back time trying others nearby,anecdotesmiscellaneous,conflict,"['time', 'others']"
tell herky sent get free confused look waiter,anecdotesmiscellaneous,neutral,"['look', 'waiter']"
view spectacular food great,ambience,positive,['food']
big complaint toasting available,food,negative,['complaint']
oasis refinement food though somewhat uneven often reaches pinnacles new american fine cuisine chefs passion kitchens precise execution evident fish dishes soups,food,positive,"['food', 'passion', 'pinnacles', 'oasis', 'execution', 'fish', 'dishes', 'kitchens', 'chefs', 'cuisine', 'refinement', 'soups']"
wait staff pleasant fun part gorgeous wonderful aesthetic beautification way sheswaycuterthanmethatb way,service,positive,"['way', 'beautification', 'sheswaycuterthanmethatb', 'staff', 'fun', 'part']"
went mommy person could afford taking,anecdotesmiscellaneous,neutral,['person']
knowledge chef waitress average,food,negative,"['chef', 'knowledge', 'waitress', 'average']"
main downside place nazilike guy running constantly complains noise level,service,negative,"['level', 'place', 'noise', 'guy']"
barely see never mind conversation,ambience,negative,"['conversation', 'mind']"
husband mesclun salmon ice cream enjoyed 3 courses,food,positive,"['husband', 'cream', 'ice', 'salmon', 'courses']"
waiter people helping attentive genuine,service,positive,"['people', 'waiter']"
hundreds italian restaurants queens among best,anecdotesmiscellaneous,positive,"['queens', 'hundreds', 'restaurants']"
food delicious waiter incredibly helpful attentive considering ones first hour,service,positive,"['food', 'waiter', 'hour', 'ones']"
walking around village went place drinks,anecdotesmiscellaneous,neutral,"['village', 'place', 'drinks']"
food snobs allowed place people appreciate good food,food,positive,"['place', 'food', 'snobs', 'people']"
decor charming,ambience,positive,['decor']
food average service pathetic ambience,service,negative,"['ambience', 'food', 'service']"
recommend scopa friends place go wonderful italian food,food,positive,"['food', 'place', 'friends']"
perfect dates,ambience,positive,['dates']
youve ever along river weehawken idea top view chart house offer,anecdotesmiscellaneous,neutral,"['view', 'house']"
dont waste money decor,ambience,positive,"['money', 'decor']"
simply best meal nyc,anecdotesmiscellaneous,positive,['meal']
girls definitely go back,anecdotesmiscellaneous,positive,['girls']
faans got great concept little rough delivery,anecdotesmiscellaneous,positive,"['delivery', 'concept']"
one alltime favorite,anecdotesmiscellaneous,positive,"['favorite', 'alltime']"
didnt like food came right ordered,food,negative,['food']
innovators french indian fusion great job making dishes interesting possible still accessible,food,positive,"['job', 'dishes']"
overall worth money,price,negative,['money']
kruno beverage manager best bartender yet come across,service,positive,"['beverage', 'manager', 'bartender']"
sauce watery food didnt much flavor,food,negative,"['sauce', 'flavor', 'food']"
took five minutes get empty table standing wasnt bad,service,positive,"['table', 'minutes', 'standing']"
service always bad though dont expect much anything server would recommend bringing date either,service,negative,"['date', 'service', 'server']"
recommended place friends always gets good response,anecdotesmiscellaneous,positive,"['response', 'place', 'friends']"
also extremely well priced,price,positive,[]
quiet dark asian bistro well worth trip,anecdotesmiscellaneous,positive,"['trip', 'bistro']"
many dinners always perfect date husband mom girlfriends larger groups,anecdotesmiscellaneous,positive,"['date', 'husband', 'dinners', 'groups', 'mom']"
characters really make enjoyable experience,ambience,positive,"['experience', 'characters']"
sauce delicious crust perfect,food,positive,"['sauce', 'crust']"
disappointed restaurant,anecdotesmiscellaneous,negative,['restaurant']
faan sooo good,anecdotesmiscellaneous,positive,[]
pleasantly greeted,service,positive,[]
100 different beers offer thier guest made husband happy food delicious must recommend dish must pumkin tortelini,food,positive,"['dish', 'food', 'husband', 'guest', 'beers']"
dining room quietly elegant music shout refreshing,ambience,positive,"['room', 'music', 'dining']"
anyway food good price right decent wine list,price,positive,"['food', 'wine', 'price', 'list']"
wait staff freindly make feel like youre eating freindly little european town,service,positive,"['town', 'staff']"
try cheesecake,food,positive,['cheesecake']
family never expected incredible entertainment restaurant,ambience,positive,"['restaurant', 'family', 'entertainment']"
well place ghetto even funny,ambience,negative,['ghetto']
complaint would average cost 1215 per meal id like worry finding seat,price,negative,"['meal', 'cost', 'seat', 'complaint', 'worry', 'i']"
appetizing excellent good zabars barney greengrass reasonable price bought pound,price,positive,"['price', 'barney', 'pound']"
despite fact space large theyve overcrowded floor tables,ambience,negative,"['floor', 'fact', 'tables', 'space']"
one best comfort food places city,food,positive,"['food', 'comfort', 'city']"
many restaurants city roths steakhouse quickly become one favorites,anecdotesmiscellaneous,positive,"['restaurants', 'favorites', 'city']"
vibe relaxed cozy service great food excellent,food,positive,"['food', 'vibe', 'service']"
best place bring kids friends want something different,anecdotesmiscellaneous,positive,"['kids', 'place', 'friends']"
everything always cooked perfection service excellent decor cool understated,ambience,positive,"['perfection', 'service', 'decor']"
brought buddies ca loved,anecdotesmiscellaneous,positive,['buddies']
yes wait seated small waiting area seat bar taken,ambience,negative,"['seat', 'waiting', 'area', 'bar']"
wife ate earlier week stopped ranting raving food,food,positive,"['food', 'week', 'wife']"
furthermore rice seasoning sushi bland disgusting,food,negative,"['seasoning', 'sushi', 'rice']"
times waited well half hour table even though reservations,service,negative,"['hour', 'table', 'reservations', 'times']"
hand fooled easily find hundreds restaurants give service ambiance par alain ducasse food outshine presentaion taste choice quality quantity,service,conflict,"['restaurants', 'quality', 'hundreds', 'hand', 'quantity', 'choice', 'ambiance', 'service', 'taste']"
went friend last saturday,anecdotesmiscellaneous,neutral,['friend']
opted pasta dish served timely fresh,service,positive,"['dish', 'pasta']"
mizu home creative unique rolls found anywhere else,food,positive,['rolls']
service impeccable unobtrusive staff knows know menu present meal attend needs,service,positive,"['needs', 'meal', 'menu', 'staff', 'service']"
needless say im never going back wary,anecdotesmiscellaneous,negative,[]
sicilian favorite moist dry like places pizza great,food,positive,"['places', 'pizza']"
urged friends months check mermaid inn,anecdotesmiscellaneous,neutral,"['inn', 'friends', 'months']"
event place ill sure stop im part town,anecdotesmiscellaneous,positive,"['place', 'town', 'event', 'part']"
couldnt even make salad appealing,food,negative,"['appealing', 'salad']"
try pad thai fabulous prices cheap,food,positive,"['prices', 'pad']"
aside bearded courdoroy blazer professor type nyu student hes sleeping week see strange mix hipsters frat boys smith types need told black bitter cougars cant understand arent married yet,ambience,neutral,"['types', 'mix', 'hipsters', 'professor', 'week', 'type', 'student', 'cougars']"
thai food good,food,positive,[]
spice three times twice lunch dinner,anecdotesmiscellaneous,neutral,"['spice', 'lunch', 'dinner', 'times']"
definitely go back,anecdotesmiscellaneous,positive,[]
definitely great spot nice occasion date,anecdotesmiscellaneous,positive,"['occasion', 'spot', 'date']"
friday night,anecdotesmiscellaneous,neutral,['night']
lived japan 7 years taste food feel restaurant like back japan,food,positive,"['years', 'restaurant', 'food']"
exemplifies soho cute artsy interesting,ambience,positive,[]
restaurant bit noisy something overlooked sit enjoy great meal,food,positive,"['meal', 'sit', 'restaurant', 'bit']"
restaurant bit noisy something overlooked sit enjoy great meal,ambience,conflict,"['meal', 'sit', 'restaurant', 'bit']"
care food ambience,food,neutral,"['ambience', 'food']"
im glad introduced place rare gem ny,anecdotesmiscellaneous,positive,"['place', 'gem']"
summereat outside terrace another great feature suan,ambience,positive,"['terrace', 'suan', 'feature']"
even food wasnt good garden great place sit outside relax,ambience,positive,"['place', 'food', 'garden']"
please try filet mignon tender piece ever,food,positive,['piece']
simply amazing unique tasty best didnt break bank,price,positive,"['bank', 'best']"
decor dark cool soothing foods presentation spectacular considering low prices,food,positive,"['foods', 'presentation', 'prices', 'decor']"
terribly thirsty meal,food,negative,['meal']
regular due consistently good food ease getting table,anecdotesmiscellaneous,positive,"['food', 'table', 'ease']"
like others said dont expect restaurant make nite romantic yes busy restaurant may require wait,ambience,negative,"['restaurant', 'others']"
pleasantly surprised,anecdotesmiscellaneous,positive,[]
happen impressed cuisine definitely try,food,positive,['cuisine']
ambience fun prices great top fact food really tasty,price,positive,"['food', 'fact', 'ambience', 'prices', 'fun']"
quantity also good come satisfied,food,positive,['quantity']
like servers forgot actually worked instead wanted hang cool,service,negative,['servers']
ambience authentic relaxing always received attentive prompt service,ambience,positive,"['ambience', 'relaxing', 'service']"
still date bad,anecdotesmiscellaneous,negative,[]
looked like shredded cheese partly done still strips,food,negative,"['cheese', 'strips']"
waiters sweet food tasty bill never large,service,positive,"['food', 'waiters', 'bill']"
check wont hurt stomach wallet,price,positive,"['stomach', 'check', 'wallet']"
careful say spicy mean,anecdotesmiscellaneous,neutral,['mean']
perfect restaurant ny life style got cool design awsome drinks food lots good looking people eating hanging pink bar,ambience,positive,"['food', 'style', 'lots', 'design', 'people', 'bar', 'restaurant', 'drinks']"
great price food service,service,positive,"['food', 'price', 'service']"
service excellent ac worked well thank god hot,ambience,positive,['service']
dont think would go,anecdotesmiscellaneous,negative,[]
good music great food speedy service affordable prices,price,positive,"['food', 'prices', 'service', 'music']"
best thing soho,anecdotesmiscellaneous,positive,"['soho', 'thing']"
price jersey deli way better,price,positive,['way']
think absolutely brilliant well runned business operation,anecdotesmiscellaneous,positive,"['operation', 'business']"
restaurant worth time effort money say least,anecdotesmiscellaneous,negative,"['money', 'time', 'effort', 'restaurant']"
haru serves fresh fish trendy modern ambiance prime location park avenue south friendly service,food,positive,"['park', 'fish', 'location', 'ambiance', 'avenue', 'service']"
waitress patient us food phenomenal,service,positive,"['food', 'patient', 'waitress']"
garantuan cant fit toaster,food,positive,['toaster']
celebrate birthday three us went mare anticipating great food,anecdotesmiscellaneous,neutral,"['mare', 'birthday', 'food']"
service typical shortorder dinner type,service,neutral,"['dinner', 'type', 'service']"
inside little cramped expected,ambience,conflict,[]
raos last wed,anecdotesmiscellaneous,neutral,[]
great friendly service fast seating fast delivery excellent sushi,service,positive,"['seating', 'delivery', 'sushi', 'service']"
place worth going even beer,food,positive,"['place', 'beer']"
excellent atmosphere delicious dishes good friendly service,service,positive,"['atmosphere', 'service', 'dishes']"
pizzas terrific price even better,price,positive,"['price', 'pizzas']"
every waitress customer passed bumped chair,anecdotesmiscellaneous,negative,"['waitress', 'chair', 'customer']"
really recommend simple unda egg rolls,food,positive,"['rolls', 'egg']"
real gallery stars visited,ambience,neutral,"['gallery', 'stars']"
food delivered busboy waiter got cheese offered pasta water wine glasses remained empty entire meal would easily spent another 20 wine,service,negative,"['food', 'busboy', 'meal', 'water', 'wine', 'waiter', 'glasses', 'cheese', 'pasta']"
guys rock,anecdotesmiscellaneous,positive,['guys']
service excellent food delicious,food,positive,"['food', 'delicious', 'service']"
delicious food great price go cold day sit front door,food,positive,"['day', 'price', 'door']"
youre looking great meal decent price go del friscos,price,positive,"['price', 'meal']"
place however lot less pretension joya thai food still aboveaverage,ambience,positive,['lot']
moral stay away,anecdotesmiscellaneous,negative,['stay']
fiance took scopa last week birthday couldnt believe food,anecdotesmiscellaneous,neutral,"['food', 'week', 'fiance', 'birthday']"
first greeting entered last call 1015,service,negative,"['greeting', 'call']"
new restaurant still features much classical furniture made tiffin attractive menu overhauled,food,negative,"['tiffin', 'menu', 'furniture', 'restaurant']"
service excellent decor great food delicious comes large portions,service,positive,"['food', 'portions', 'service', 'decor']"
eat club roving group nyc gluttons,anecdotesmiscellaneous,neutral,"['group', 'club', 'roving', 'gluttons']"
bill approximately 25 2 lunch without drinks,price,neutral,"['lunch', 'bill', 'drinks']"
great bar gorgeous bartenders youve ever seen specifically blond lady,service,positive,"['bartenders', 'lady', 'bar']"
fourth try two year period im done,anecdotesmiscellaneous,negative,"['period', 'year']"
staff always attentive kind ive always amazed theyve handled various different group sizes come,service,positive,"['group', 'sizes', 'staff']"
ambience nice service wasnt great,ambience,positive,"['ambience', 'service']"
alone 100 bucks really overprice,price,negative,['bucks']
reason place empty got remained entire evening dont understand blast definately go back next time area,anecdotesmiscellaneous,positive,"['blast', 'time', 'reason', 'area', 'evening', 'place']"
food average would return see operate four less dinners,food,positive,"['food', 'dinners', 'average']"
thought change bit,anecdotesmiscellaneous,neutral,"['thought', 'change', 'bit']"
great spot whether looking couple drinks quiet dinner,ambience,positive,"['couple', 'spot', 'dinner', 'drinks']"
love know gourmet food excellence,food,positive,['love']
baluchis solid food nice decor reasonable prices,price,positive,"['food', 'prices', 'decor']"
moment walked accomodating even though place packed,ambience,negative,"['moment', 'place']"
food diamond rough food delicious homemade perfect balance herbs tomatoes,food,positive,"['food', 'balance', 'herbs', 'diamond', 'tomatoes']"
appetizers ok main courses decidedly subpar,food,negative,"['appetizers', 'courses']"
sitting eating subpar food manager proceeded berate couple employees putting wrong containers condiments explained expensive containers,food,negative,"['food', 'employees', 'condiments', 'couple', 'manager', 'containers']"
location perfect,ambience,positive,['location']
great pizza fantastic service,service,positive,"['service', 'pizza']"
worst dining experience ive ever,anecdotesmiscellaneous,negative,"['experience', 'dining']"
bartender recent visit incredibly rude never go back,service,negative,"['bartender', 'visit']"
far best salad fast food restaurant,food,positive,"['food', 'salad', 'restaurant']"
well mannered pleasant staff tony employ,service,positive,"['employ', 'staff']"
constantly open catering pakistani cabbies lined crosby st theres turnover food youd expect ie surprisingly fresh,ambience,positive,"['catering', 'cabbies', 'turnover', 'food']"
staff ignored friends entire time,service,negative,"['time', 'friends', 'staff']"
place hotspot hangout drinks unique pack lot bang buck,ambience,negative,"['hangout', 'bang', 'pack', 'hotspot', 'buck', 'lot', 'place', 'drinks']"
duck breast special last visit incredible,food,positive,"['visit', 'breast', 'duck']"
rest dim sum though pricey chinatown standards worth,price,negative,"['chinatown', 'standards', 'sum']"
incredible food agreable price brings back every day authentic thai restaurant,food,positive,"['food', 'day', 'price', 'restaurant']"
steakhouse seems hold candle roths strip house,anecdotesmiscellaneous,neutral,['candle']
bar well stocked interesting beers well priced wines,food,positive,"['wines', 'beers', 'bar']"
went 600 pm specifically pretheater menu 1995 roasted tomato soup chevre steak frites creme brulee marvelous,food,positive,"['steak', 'soup', 'menu', 'pm', 'tomato']"
best dish thh thai spiced curry noodles shrimp dish would cost 2395 places 16,price,positive,"['shrimp', 'dish', 'places', 'noodles']"
taj mahal offeres gret value great food,food,positive,"['food', 'gret']"
20 entree range overly expensive new york city definitely better food range sapphire despite lovely atmosphere likely restaurant return,price,positive,"['food', 'atmosphere', 'range', 'city', 'return', 'sapphire', 'entree', 'restaurant']"
service excellent ac worked well thank god hot,service,positive,['service']
ingredients taste fresher crust thinner crispier slice less oily never burnt like occasionally joes,food,positive,"['ingredients', 'slice', 'joes', 'crust']"
thought going jimmys would give real domincan exprience,anecdotesmiscellaneous,neutral,['domincan']
great place take outoftowners perfect watching sunset,ambience,positive,"['sunset', 'place', 'outoftowners']"
told party three would seated 10 minutes watching parties multiples 2 higher seated 40 minutes three us squished small 2person table,service,negative,"['table', 'parties', 'minutes', 'party']"
incredibly poor service food quality exorbitant prices,service,negative,"['food', 'prices', 'service', 'quality']"
discovered pings internet entered qualms instantly put ease fish tanks greet u walk,anecdotesmiscellaneous,neutral,"['ease', 'fish', 'pings', 'internet', 'qualms', 'tanks']"
always get sampling appetizers share,anecdotesmiscellaneous,neutral,['appetizers']
tried every thai restaurant atlantic avenue 4th streets joya best,anecdotesmiscellaneous,positive,"['restaurant', 'streets']"
top spot town vietnamese classics better places cost lot,food,positive,"['classics', 'town', 'spot', 'lot', 'places']"
save money dont waste calories go margharitas washington street instead amazing food best service,anecdotesmiscellaneous,negative,"['food', 'calories', 'money', 'service']"
service friendly prices good delivery time little slow way pizza tastes im willing overlook,service,conflict,"['way', 'delivery', 'time', 'prices', 'service', 'pizza']"
recommendations course required,anecdotesmiscellaneous,neutral,"['recommendations', 'course']"
havent locations,anecdotesmiscellaneous,neutral,['locations']
recommend anyone wants dress impress lady,anecdotesmiscellaneous,positive,"['dress', 'lady']"
prices dressed atmosphere expect get,ambience,negative,"['prices', 'atmosphere']"
loved back soon,anecdotesmiscellaneous,positive,[]
try ordering regular menu would regret,food,positive,['menu']
eggplant delicate sweet tender,food,positive,"['eggplant', 'tender']"
really tasty spring rolls noodles good price though,price,positive,"['price', 'spring']"
pizza little soggy,food,negative,['pizza']
one nicest outdoor restaurants ever seen nyi italy place rivals ones country,ambience,positive,"['restaurants', 'country', 'ones']"
staff makes feel home food great atmosphere wonderful,food,positive,"['food', 'home', 'atmosphere', 'staff']"
would gotten cole slaw knish stomach space,food,positive,['stomach']
would rather tried terrace sky water club price,anecdotesmiscellaneous,neutral,"['terrace', 'club', 'price', 'sky']"
went pams girlfriend love,anecdotesmiscellaneous,positive,"['pams', 'girlfriend']"
always get shabushabu dinner beef always fresh,food,positive,"['dinner', 'beef']"
spicy tuna roll unusually good rock shrimp tempura awesome great appetizer share,food,positive,"['shrimp', 'rock', 'tuna', 'tempura', 'share', 'appetizer']"
katzs nyc original 100 years,anecdotesmiscellaneous,positive,['years']
fast service,service,positive,['service']
didnt take look rest menu oysters fantastic,food,positive,"['oysters', 'look', 'menu', 'rest']"
boyfriend minnow four times consistently impressed,anecdotesmiscellaneous,positive,"['boyfriend', 'times']"
good hey food bad dim sum supposed smaller portions try dishes smaller dish cheap,food,conflict,"['dish', 'food', 'portions', 'dishes', 'sum']"
first choice ever since discovered,anecdotesmiscellaneous,positive,['choice']
atmosphere great,ambience,positive,['atmosphere']
ate outside harus sake bar harus restaurant next door overflowing,anecdotesmiscellaneous,neutral,"['door', 'sake', 'restaurant']"
food great,food,positive,['food']
typical pizza joint good low key fairly cheap nice sit dinner,food,positive,"['sit', 'dinner', 'key', 'joint', 'pizza']"
dakshin one affordable tasty indian restaurant upper east side,food,positive,"['side', 'restaurant']"
really though wheres seasoning,food,negative,['seasoning']
problem since paid 20 bucks dish order 5 dishes get decent taste,price,negative,"['dish', 'order', 'dishes', 'bucks', 'problem', 'taste']"
jimmys hands hottest night spot bronx,ambience,positive,"['night', 'spot']"
waitress remembers friendly knows regular thats fried mini buns condensed milk assorted fruits beancurd,food,positive,"['waitress', 'beancurd', 'milk', 'fruits', 'buns']"
love food,food,positive,['food']
food good view new york city skiline terrific even foggy rainy day like went,food,positive,"['food', 'day', 'view']"
ambience fun prices great top fact food really tasty,ambience,positive,"['food', 'fact', 'ambience', 'prices', 'fun']"
boyfriend ate tuna cooked perfectly,food,positive,"['tuna', 'boyfriend']"
huge group birthday well taken care,service,positive,"['group', 'care', 'birthday']"
place good potential needs significant amount work justify spending much money indian food get everywhere else,price,negative,"['food', 'amount', 'money', 'potential', 'work']"
food rather good like wait,service,negative,['food']
im saving next visit,anecdotesmiscellaneous,positive,['visit']
service slow wait order get food although crowded,service,negative,"['order', 'food', 'wait', 'service']"
service excellent food delicious,service,positive,"['food', 'delicious', 'service']"
location prices reasonable,price,positive,"['location', 'prices']"
food fresh delicious reasonably priced,price,positive,['food']
service friendly attentive,service,positive,['service']
right l brooklyn nice cozy place good pizza,ambience,positive,"['place', 'pizza']"
tips skip turnip cake roast pork buns egg custards,food,negative,"['custards', 'pork', 'turnip', 'roast', 'tips', 'cake', 'buns', 'egg']"
service awful,service,negative,['service']
recently tried suan thought great,anecdotesmiscellaneous,positive,[]
potstickers great tempura dish great,food,positive,"['dish', 'tempura', 'potstickers']"
one go lucky strike food,food,negative,"['strike', 'food']"
skip dessert,food,negative,['dessert']
wish theyd expand,anecdotesmiscellaneous,neutral,[]
would definitely visit,anecdotesmiscellaneous,positive,[]
give 15 discount end wasnt enough knew service horrible,service,negative,"['service', 'discount', 'end']"
also bit hassle get without car happen live inwood,anecdotesmiscellaneous,negative,"['inwood', 'car', 'hassle', 'bit']"
terrible terrible management deserves shutdown,service,negative,"['shutdown', 'management']"
food really good onion soup one best ever,food,positive,"['food', 'onion', 'soup']"
place good potential needs significant amount work justify spending much money indian food get everywhere else,food,neutral,"['food', 'amount', 'money', 'potential', 'work']"
ate clams oreganta spectacular salad perfectly marinated cucumbers tomatoes lots shrimp basil,food,positive,"['lots', 'basil', 'shrimp', 'salad', 'clams', 'tomatoes', 'cucumbers']"
besides restaurants like around city,anecdotesmiscellaneous,positive,"['restaurants', 'city']"
comparing chinatown restaurants simply fair,anecdotesmiscellaneous,neutral,"['chinatown', 'restaurants']"
service terrible wait everything ask several different people thing allowed served,service,negative,"['people', 'thing', 'service']"
wife always enjoy young always well trained nevertheless friendly staff story,service,conflict,"['story', 'wife', 'staff']"
love place,anecdotesmiscellaneous,positive,"['place', 'love']"
must crabmeat lasagna world chocolate bread pudding dessert,food,positive,"['pudding', 'bread', 'dessert']"
fiance took scopa last week birthday couldnt believe food,food,positive,"['food', 'week', 'fiance', 'birthday']"
wife tanya hostess completes comforting atmosphere delightfully warm gracious,service,positive,"['atmosphere', 'wife']"
appetizing excellent good zabars barney greengrass reasonable price bought pound,food,positive,"['price', 'barney', 'pound']"
spent 50 definetly come back friends,price,positive,['friends']
would highly recommand requesting table window,anecdotesmiscellaneous,positive,"['table', 'window']"
thing wonderful food exceptional service,service,positive,"['food', 'thing', 'service']"
ive eaten pizza gruppo times often order delivery,anecdotesmiscellaneous,neutral,"['order', 'delivery', 'times', 'pizza']"
pizza overpriced soggy,food,positive,['pizza']
maybe unintentional mistake ive experienced restaurants dont appreciate practice,anecdotesmiscellaneous,negative,"['mistake', 'restaurants', 'practice']"
keep capex minimum put cash bagels among best city,food,positive,"['cash', 'bagels', 'put', 'city']"
place quiet delightful,ambience,positive,['place']
pizza yummy like atmoshpere,ambience,positive,['pizza']
would highly recommend place anyone looking fine indian dining experience definitely value dollar,price,positive,"['place', 'experience', 'dining', 'dollar']"
treated us well food extremely fresh wellprepared,food,positive,['food']
diverse menu something everybody,food,positive,['menu']
however popularity yet slow still find drawn ambiance delectable reputation,ambience,positive,"['ambiance', 'reputation', 'popularity']"
fabulous service fantastic food chilled atmosphere environment,service,positive,"['environment', 'food', 'atmosphere', 'service']"
incredibly poor service food quality exorbitant prices,food,negative,"['food', 'prices', 'service', 'quality']"
still quibbles bill offset pouryourown measures liquers courtesey house,price,conflict,"['bill', 'measures']"
plain pizza soggy creative wild mushroomthird generationfornini pizza drenched truffle oil middle making soggy nothingon rest,food,negative,"['oil', 'rest', 'nothingon', 'truffle', 'pizza']"
go wrong place,anecdotesmiscellaneous,positive,['place']
shockingly easy throw group dinner simple contract deposit hold date entire 2nd fl mezz grp 20,anecdotesmiscellaneous,positive,"['contract', 'date', 'group', 'throw', 'dinner', 'deposit']"
wines glass great accompaniment eat like king wine 30,price,positive,"['king', 'wine', 'accompaniment', 'wines', 'glass']"
service fantastic,service,positive,['service']
